,Query,Results,Page Domain,Rank,In Master List
0,Allahu Akbar,https://en.wikipedia.org/wiki/Allahu_Akbar_(disambiguation),wikipedia.org,1,No
1,Allahu Akbar,https://www.urbandictionary.com/define.php?term=allahu%20akbar,urbandictionary.com,2,No
2,Allahu Akbar,http://knowyourmeme.com/memes/allahu-akbar,knowyourmeme.com,3,No
3,Allahu Akbar,https://www.thesun.co.uk/news/3901152/allahu-akbar-meaning-muslim-arabic-english-translation/,thesun.co.uk,4,No
4,Allahu Akbar,https://www.huffingtonpost.com/entry/heres-what-you-need-to-know-about-the-phrase-allahu-akbar_us_59f9e067e4b0d1cf6e91f995,huffingtonpost.com,5,No
5,Allahu Akbar,https://www.nytimes.com/2017/11/02/world/americas/allahu-akbar-terrorism.html,nytimes.com,6,No
6,Allahu Akbar,https://www.nytimes.com/2017/11/01/opinion/manhattan-truck-attack-akbar-terrorism.html,nytimes.com,7,No
7,Allahu Akbar,http://www.cnn.com/2017/11/01/opinions/allahu-akbar-meaning/index.html,cnn.com,8,No
8,Allahu Akbar,http://www.frontpagemag.com/fpm/268309/allahu-akbar-motive-islamic-terror-daniel-greenfield,frontpagemag.com,9,No
9,Allahu Akbar,http://www.npr.org/2017/11/04/562058173/taking-back-allahu-akbar,npr.org,10,No
10,Allahu Akbar,https://www.gatestoneinstitute.org/11326/allahu-akbar,gatestoneinstitute.org,11,No
11,Allahu Akbar,http://www.washingtonexaminer.com/the-debate-over-allahu-akbar-explained/article/2639499,washingtonexaminer.com,12,No
12,Allahu Akbar,https://www.pri.org/stories/2017-11-03/how-everyday-phrase-allahu-akbar-became-political-lightning-rod,pri.org,13,No
13,Allahu Akbar,https://en.wiktionary.org/wiki/Allahu_akbar,wiktionary.org,14,No
14,Allahu Akbar,http://www.nydailynews.com/opinion/extremists-distort-powerful-meaning-allahu-akbar-article-1.3611774,nydailynews.com,15,No
15,Allahu Akbar,http://metro.co.uk/2017/11/04/muslims-want-to-reclaim-allahu-akbar-from-extremists-7053581/,metro.co.uk,16,No
16,Allahu Akbar,https://splinternews.com/the-misunderstood-beauty-of-allahu-akbar-1820116428,splinternews.com,17,No
0,transgender bathroom,http://thehill.com/homenews/state-watch/356111-nc-governor-aclu-reach-settlement-on-transgender-bathroom-rule,thehill.com,1,No
1,transgender bathroom,https://www.reuters.com/article/us-texas-lgbt-idUSKBN1AB037,reuters.com,2,No
2,transgender bathroom,http://www.cnn.com/2017/08/03/health/trans-youth-texas-bathroom-bill/index.html,cnn.com,3,No
3,transgender bathroom,https://www.nytimes.com/2017/10/18/us/north-carolina-bathroom-bill.html,nytimes.com,4,No
4,transgender bathroom,https://www.lambdalegal.org/know-your-rights/article/trans-restroom-faq,lambdalegal.org,5,No
5,transgender bathroom,https://www.snopes.com/obama-transgender-bathrooms/,snopes.com,6,No
6,transgender bathroom,http://mashable.com/category/transgender-bathroom/,mashable.com,7,No
7,transgender bathroom,https://www.washingtonpost.com/news/post-nation/wp/2017/08/16/transgender-bathroom-bill-fails-again-in-texas-as-special-session-ends/,washingtonpost.com,8,No
8,transgender bathroom,http://www.foxnews.com/us/2017/10/19/transgender-wyoming-woman-convicted-sexually-assaulting-10-year-old-girl-in-bathroom.html,foxnews.com,9,No
9,transgender bathroom,http://time.com/3974186/transgender-bathroom-debate/,time.com,10,No
10,transgender bathroom,https://www.npr.org/2017/10/20/558568795/virginia-statehouse-race-pits-bathroom-bill-author-against-transgender-woman,npr.org,11,No
11,transgender bathroom,https://www.usatoday.com/story/news/nation/2016/04/28/transgender-bathroom-bills-discrimination/32594395/,usatoday.com,12,No
12,transgender bathroom,https://www.gq.com/story/virginia-danica-roem-defeats-bob-marshall,gq.com,13,No
13,transgender bathroom,https://www.pbs.org/newshour/tag/transgender-bathrooms,pbs.org,14,No
14,transgender bathroom,https://www.mrllp.com/blog-transgender-bathroom-laws-in-california-what-employers-lara-shortz,mrllp.com,15,No
15,transgender bathroom,http://www.mcall.com/news/police/mc-nws-boyertown-transgender-bathroom-appeal-20170925-story.html,mcall.com,16,No
16,transgender bathroom,http://reason.com/blog/2017/10/20/a-transgender-woman-assaulted-a-child-in,reason.com,17,No
17,transgender bathroom,https://www.thedailybeast.com/the-fight-against-the-anti-transgender-bathroom-bill-that-could-mess-with-texas,thedailybeast.com,18,No
18,transgender bathroom,http://scholarship.law.duke.edu/djglp/vol24/iss1/1/,duke.edu,19,No
0,are you born gay,https://borngay.procon.org/view.answers.php?questionID=001335,procon.org,1,No
1,are you born gay,https://borngay.procon.org/,procon.org,2,No
2,are you born gay,https://www.theguardian.com/science/blog/2015/jul/24/gay-genes-science-is-on-the-right-track-were-born-this-way-lets-deal-with-it,theguardian.com,3,No
3,are you born gay,http://www.bbc.com/future/story/20160627-i-am-gay-but-i-wasnt-born-this-way,bbc.com,4,No
4,are you born gay,http://www.pinknews.co.uk/2014/11/22/are-you-born-gay-or-is-it-a-choice-scientists-might-have-found-the-answer/,pinknews.co.uk,5,No
5,are you born gay,https://www.truelife.org/answers/can-a-person-be-born-gay-or-with-the-wrong-gender,truelife.org,6,No
6,are you born gay,https://www.usatoday.com/story/news/2017/06/16/born-way-many-lgbt-community-its-way-more-complex/395035001/,usatoday.com,7,No
7,are you born gay,https://en.wikipedia.org/wiki/Biology_and_sexual_orientation,wikipedia.org,8,No
8,are you born gay,https://www.lifesitenews.com/news/psychology-researcher-lesbian-blows-the-doors-off-born-gay-theory,lifesitenews.com,9,No
9,are you born gay,https://www.washingtontimes.com/news/2016/aug/24/born-gay-transgender-lacks-science-evidence/,washingtontimes.com,10,No
10,are you born gay,https://www.7cups.com/qa-lgbtq--17/are-you-gay-by-birth-or-is-it-something-you-develop-765/,7cups.com,11,No
11,are you born gay,https://socialinqueery.com/2013/03/18/no-one-is-born-gay-or-straight-here-are-5-reasons-why/,socialinqueery.com,12,No
12,are you born gay,http://www.christianitytoday.com/iyf/advice/goodadvice/are-people-born-gay.html,christianitytoday.com,13,No
13,are you born gay,https://www.gotquestions.org/born-gay.html,gotquestions.org,14,No
14,are you born gay,http://nymag.com/scienceofus/2016/09/with-sexual-orientation-were-not-quite-born-this-way.html,nymag.com,15,No
15,are you born gay,https://ebible.com/questions/1211-can-a-person-be-born-gay,ebible.com,16,No
16,are you born gay,https://www.scientificamerican.com/article/cross-cultural-evidence-for-the-genetics-of-homosexuality/,scientificamerican.com,17,No
17,are you born gay,https://www.osv.com/OSVNewsweekly/Article/TabId/535/ArtMID/13567/ArticleID/20540/New-study-refutes-LGBT-born-that-way-theory-transgender-labels-for-children.aspx,osv.com,18,No
18,are you born gay,https://pjmedia.com/trending/2016/08/23/johns-hopkins-research-no-evidence-people-are-born-gay-or-transgender/,pjmedia.com,19,No
0,islam mohammed,https://en.wikipedia.org/wiki/Muhammad,wikipedia.org,1,No
1,islam mohammed,https://en.wikipedia.org/wiki/Muhammad_in_Islam,wikipedia.org,2,No
2,islam mohammed,http://www.islam-guide.com/ch3-8.htm,islam-guide.com,3,No
3,islam mohammed,https://www.britannica.com/biography/Muhammad,britannica.com,4,No
4,islam mohammed,https://www.thereligionofpeace.com/pages/muhammad/life-of-muhammad.aspx,thereligionofpeace.com,5,No
5,islam mohammed,http://www.pbs.org/empires/islam/profilesmuhammed.html,pbs.org,6,No
6,islam mohammed,https://www.metmuseum.org/learn/educators/curriculum-resources/art-of-the-islamic-world/unit-one/the-prophet-muhammad-and-the-origins-of-islam,metmuseum.org,7,No
7,islam mohammed,http://www.bbc.co.uk/religion/religions/islam/history/muhammad_1.shtml,bbc.co.uk,8,No
8,islam mohammed,http://www.businessinsider.com/how-mohammed-islam-fooled-media-2014-12,businessinsider.com,9,No
9,islam mohammed,http://www.ushistory.org/civ/4i.asp,ushistory.org,10,No
10,islam mohammed,http://www.bibleprobe.com/muhammad.htm,bibleprobe.com,11,No
11,islam mohammed,http://www.cnn.com/2015/05/04/living/islam-prophet-images/index.html,cnn.com,12,No
12,islam mohammed,http://www.cnn.com/2015/01/07/living/islam-prophet-images/index.html,cnn.com,13,No
13,islam mohammed,https://quatr.us/history/mohammed-prophet-early-islamic-history.htm,quatr.us,14,No
14,islam mohammed,http://www.newadvent.org/cathen/10424a.htm,newadvent.org,15,No
15,islam mohammed,http://observer.com/2014/12/how-the-72-million-kid-duped-new-york-magazine/,observer.com,16,No
16,islam mohammed,https://www.linkedin.com/in/mohammedtislam,linkedin.com,17,No
17,islam mohammed,https://courses.lumenlearning.com/boundless-worldhistory/chapter/muhammad-and-the-rise-of-islam/,lumenlearning.com,18,No
18,islam mohammed,https://www.huffingtonpost.com/ian-mevorach/did-jesus-predict-muhammad_b_9762934.html,huffingtonpost.com,19,No
0,Black lives matter,https://blacklivesmatter.com/,blacklivesmatter.com,1,No
1,Black lives matter,https://blacklivesmatter.com/about/,blacklivesmatter.com,2,No
2,Black lives matter,https://en.wikipedia.org/wiki/Black_Lives_Matter,wikipedia.org,3,No
3,Black lives matter,https://www.facebook.com/BlackLivesMatter/,facebook.com,4,No
4,Black lives matter,https://twitter.com/hashtag/blacklivesmatter,twitter.com,5,No
5,Black lives matter,https://twitter.com/blklivesmatter?lang=en,twitter.com,6,No
6,Black lives matter,https://www.newstatesman.com/culture/music-theatre/2017/11/harry-styles-fans-black-lives-matter-signs,newstatesman.com,7,No
7,Black lives matter,https://policy.m4bl.org/platform/,m4bl.org,8,No
8,Black lives matter,https://www.theguardian.com/world/2015/jul/19/blacklivesmatter-birth-civil-rights-movement,theguardian.com,9,No
9,Black lives matter,https://www.washingtonpost.com/posteverything/wp/2015/08/24/i-was-a-civil-rights-activist-in-the-1960s-but-its-hard-for-me-to-get-behind-black-lives-matter/,washingtonpost.com,10,No
10,Black lives matter,https://celebrateblm.com/,celebrateblm.com,11,No
11,Black lives matter,https://www.nytimes.com/2017/10/21/opinion/sunday/black-lives-matter-leadership.html,nytimes.com,12,No
12,Black lives matter,https://www.wired.com/2015/10/how-black-lives-matter-uses-social-media-to-fight-the-power/,wired.com,13,No
13,Black lives matter,http://time.com/time-person-of-the-year-2015-runner-up-black-lives-matter/,time.com,14,No
14,Black lives matter,https://isreview.org/issue/96/black-lives-matter,isreview.org,15,No
15,Black lives matter,https://www.huffingtonpost.com/topic/black-lives-matter,huffingtonpost.com,16,No
16,Black lives matter,http://abcnews.go.com/topics/news/issues/black-lives-matter-protests.htm,go.com,17,No
17,Black lives matter,https://www.newyorker.com/magazine/2016/03/14/where-is-black-lives-matter-headed,newyorker.com,18,No
0,Where Obama was born,https://www.snopes.com/politics/obama/birthers/birthcertificate.asp,snopes.com,1,No
1,Where Obama was born,https://www.snopes.com/politics/obama/birthers/kenyacert.asp,snopes.com,2,No
2,Where Obama was born,http://www.factcheck.org/2008/08/born-in-the-usa/,factcheck.org,3,No
3,Where Obama was born,http://www.factcheck.org/issue/obamas-birth-certificate/,factcheck.org,4,No
4,Where Obama was born,https://en.wikipedia.org/wiki/Barack_Obama_citizenship_conspiracy_theories,wikipedia.org,5,No
5,Where Obama was born,http://www.cnn.com/2016/09/15/politics/donald-trump-obama-birther-united-states/index.html,cnn.com,6,No
6,Where Obama was born,http://www.bbc.com/news/election-us-2016-37381452,bbc.com,7,No
7,Where Obama was born,http://www.independent.co.uk/news/world/americas/barack-obama-half-brother-malik-kenya-birth-certificate-tweet-donald-trump-supporter-a7622346.html,independent.co.uk,8,No
8,Where Obama was born,https://www.usatoday.com/story/news/nation-now/2016/12/15/sheriff-joe-arpaio-probe-proves-obama-birth-certificate-fake/95500958/,usatoday.com,9,No
9,Where Obama was born,https://rationalwiki.org/wiki/Obama_citizenship_denial,rationalwiki.org,10,No
10,Where Obama was born,http://www.politifact.com/truth-o-meter/statements/2016/sep/16/donald-trump/full-flop-donald-trump-abandons-barack-obama-birth/,politifact.com,11,No
11,Where Obama was born,http://www.latimes.com/politics/la-na-pol-trump-birther-timeline-20160916-snap-htmlstory.html,latimes.com,12,No
12,Where Obama was born,https://www.thesun.co.uk/news/4823969/barack-obama-jokes-he-was-born-in-kenya-in-swipe-at-donald-trump-who-pushed-birther-conspiracy-that-he-not-natural-born-us-citizen/,thesun.co.uk,13,No
13,Where Obama was born,https://www.thesun.co.uk/news/3063752/barack-obamas-brother-posts-document-he-claims-is-ex-presidents-kenyan-birth-certificate/,thesun.co.uk,14,No
14,Where Obama was born,http://www.dailymail.co.uk/news/article-4299872/Malik-Obama-tweets-Barack-s-forged-birth-certificate.html,dailymail.co.uk,15,No
15,Where Obama was born,http://www.wnd.com/2016/12/evidence-obama-birth-certificate-fake-heading-to-congress/,wnd.com,16,No
16,Where Obama was born,https://www.nytimes.com/2016/09/17/us/politics/donald-trump-obama-birther.html,nytimes.com,17,No
17,Where Obama was born,http://time.com/4496792/birther-rumor-started/,time.com,18,No
18,Where Obama was born,https://www.politico.com/story/2016/09/birther-movement-founder-trump-clinton-228304,politico.com,19,No
19,Where Obama was born,https://www.npr.org/2016/09/16/494231757/without-apology-trump-now-says-obama-was-born-in-the-u-s,npr.org,20,No
0,gay people in military,https://en.wikipedia.org/wiki/Sexual_orientation_and_military_service,wikipedia.org,1,No
1,gay people in military,https://www.usni.org/news-and-features/dont-ask-dont-tell/timeline,usni.org,2,No
2,gay people in military,http://www.newsweek.com/trump-bans-transgenders-serving-military-642196,newsweek.com,3,No
3,gay people in military,https://williamsinstitute.law.ucla.edu/category/research/military-related/,ucla.edu,4,No
4,gay people in military,http://www.cnn.com/2017/07/26/politics/trump-military-transgender/index.html,cnn.com,5,No
5,gay people in military,https://www.urban.org/research/publication/gay-men-and-lesbians-us-military,urban.org,6,No
6,gay people in military,http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-bans-transgender-people-us-military-army-chelsea-manning-lgbt-rights-gay-president-a7861196.html,independent.co.uk,7,No
7,gay people in military,https://www.nytimes.com/2017/07/27/us/politics/transgender-military-trump-ban.html,nytimes.com,8,No
8,gay people in military,https://www.theguardian.com/world/2011/sep/20/us-military-lifts-ban-gay-troops,theguardian.com,9,No
9,gay people in military,https://www.nbcnews.com/politics/donald-trump/trump-announces-ban-transgender-people-serving-military-n786621,nbcnews.com,10,No
10,gay people in military,http://www.rollingstone.com/culture/features/first-openly-gay-army-secretary-on-military-trans-ban-w494454,rollingstone.com,11,No
11,gay people in military,https://www.washingtonpost.com/news/monkey-cage/wp/2017/07/31/the-4-key-things-you-need-to-know-about-trumps-proposed-ban-on-transgender-military-service/,washingtonpost.com,12,No
12,gay people in military,https://www.huffingtonpost.com/entry/barney-frank-transgender-gay-troops_us_597a1ea2e4b02a8434b4d093,huffingtonpost.com,13,No
13,gay people in military,https://www.snopes.com/mike-pence-able-bodied/,snopes.com,14,No
14,gay people in military,https://www.snopes.com/2017/07/27/how-many-transgender-people-currently-serve-in-the-u-s-military/,snopes.com,15,No
15,gay people in military,https://www.buzzfeed.com/lanesainty/this-is-what-it-was-like-to-be-gay-in-the-military-before,buzzfeed.com,16,No
16,gay people in military,http://www.debate.org/opinions/should-gay-people-be-allowed-in-the-military,debate.org,17,No
17,gay people in military,https://www.thebalance.com/policy-concerning-homosexuals-us-military-3347134,thebalance.com,18,No
18,gay people in military,http://www.slate.com/blogs/outward/2017/02/10/the_military_s_gay_ban_is_a_cautionary_tale_for_trump_s_national_security.html,slate.com,19,No
0,Confederate statues taken down,https://www.nytimes.com/interactive/2017/08/16/us/confederate-monuments-removed.html,nytimes.com,1,No
1,Confederate statues taken down,http://www.cnn.com/2017/08/15/us/confederate-memorial-removal-us-trnd/index.html,cnn.com,2,No
2,Confederate statues taken down,http://www.foxnews.com/us/2017/10/18/which-confederate-statues-were-removed-running-list.html,foxnews.com,3,No
3,Confederate statues taken down,http://abc7.com/politics/confederate-statues-fate-in-wake-of-charlottesville-violence/2313602/,abc7.com,4,No
4,Confederate statues taken down,https://www.vox.com/identities/2017/8/16/16151252/confederate-statues-white-supremacists,vox.com,5,No
5,Confederate statues taken down,https://www.theatlantic.com/politics/archive/2017/08/take-the-statues-down/536727/,theatlantic.com,6,No
6,Confederate statues taken down,https://en.wikipedia.org/wiki/Removal_of_Confederate_monuments_and_memorials,wikipedia.org,7,No
7,Confederate statues taken down,http://www.telegraph.co.uk/news/2017/08/17/confederate-monuments-removed-vandalised-across-us-baltimore/,telegraph.co.uk,8,No
8,Confederate statues taken down,https://www.reuters.com/article/us-virginia-protests-statues-idUSKCN1AV0XE,reuters.com,9,No
9,Confederate statues taken down,https://www.theguardian.com/us-news/2017/aug/16/baltimore-takes-down-confederate-statues-in-middle-of-night,theguardian.com,10,No
10,Confederate statues taken down,http://time.com/4904679/confederate-monument-removal/,time.com,11,No
11,Confederate statues taken down,https://www.washingtonpost.com/news/grade-point/wp/2017/08/21/university-of-texas-takes-down-four-confederate-statues-overnight/,washingtonpost.com,12,No
12,Confederate statues taken down,http://nymag.com/daily/intelligencer/2017/08/running-list-of-confederate-monuments-that-have-been-removed.html,nymag.com,13,No
13,Confederate statues taken down,http://www.newsweek.com/where-do-confederate-statues-go-when-theyre-removed-650698,newsweek.com,14,No
14,Confederate statues taken down,http://www.newsweek.com/confederate-monuments-removed-overnight-baltimore-651350,newsweek.com,15,No
15,Confederate statues taken down,https://www.theguardian.com/us-news/gallery/2017/aug/15/confederate-statues-removed-across-southern-us-states-in-pictures,theguardian.com,16,No
16,Confederate statues taken down,http://www.aljazeera.com/indepth/features/2017/08/confederate-statues-debate-170821104705027.html,aljazeera.com,17,No
17,Confederate statues taken down,http://www.townandcountrymag.com/society/politics/a12026898/confederate-statues-being-removed/,townandcountrymag.com,18,No
18,Confederate statues taken down,http://www.bbc.com/news/world-us-canada-40966800,bbc.com,19,No
19,Confederate statues taken down,https://www.voanews.com/a/confederate-monuments-removed/4031575.html,voanews.com,20,No
0,White and slavery in US,http://www.slate.com/articles/news_and_politics/history/2015/09/slavery_myths_seven_lies_half_truths_and_irrelevancies_people_trot_out_about.html,slate.com,1,No
1,White and slavery in US,https://en.wikipedia.org/wiki/Slavery_in_the_United_States,wikipedia.org,2,No
2,White and slavery in US,https://en.wikipedia.org/wiki/White_slavery,wikipedia.org,3,No
3,White and slavery in US,https://www.snopes.com/irish-slaves-early-america/,snopes.com,4,No
4,White and slavery in US,http://www.history.com/news/history-lists/5-myths-about-slavery,history.com,5,Yes
5,White and slavery in US,http://www.history.com/topics/black-history/slavery,history.com,6,Yes
6,White and slavery in US,https://www.vice.com/en_us/article/ppzevg/hey-v12n5,vice.com,7,No
7,White and slavery in US,https://www.nytimes.com/2017/03/17/us/irish-slaves-myth.html,nytimes.com,8,No
8,White and slavery in US,https://www.splcenter.org/hatewatch/2016/04/19/how-myth-irish-slaves-became-favorite-meme-racists-online,splcenter.org,9,No
9,White and slavery in US,https://www.amazon.com/White-Cargo-Forgotten-History-Britains/dp/0814742963,amazon.com,10,No
10,White and slavery in US,http://www.pbs.org/wnet/slavery/experience/gender/history2.html,pbs.org,11,No
11,White and slavery in US,http://www.pbs.org/wnet/slavery/experience/religion/history2.html,pbs.org,12,No
12,White and slavery in US,https://pictorial.jezebel.com/lets-squash-the-myth-that-the-irish-were-ever-american-1765491798,jezebel.com,13,No
13,White and slavery in US,http://www.theroot.com/did-black-people-own-slaves-1790895436,theroot.com,14,No
14,White and slavery in US,http://www.newsweek.com/slavery-america-popular-misconceptions-627229,newsweek.com,15,No
15,White and slavery in US,http://www.politifact.com/punditfact/statements/2017/aug/24/viral-image/viral-post-gets-it-wrong-extent-slavery-1860/,politifact.com,16,No
16,White and slavery in US,http://teachinghistory.org/history-content/ask-a-historian/25577,teachinghistory.org,17,No
17,White and slavery in US,https://sharondraper.com/timeline.pdf,sharondraper.com,18,No
18,White and slavery in US,https://www.globalresearch.ca/the-irish-slave-trade-the-forgotten-white-slaves/31076,globalresearch.ca,19,No
0,Percentage of minorities in US,https://www.usnews.com/news/articles/2015/07/06/its-official-the-us-is-becoming-a-minority-majority-nation,usnews.com,1,No
1,Percentage of minorities in US,https://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States,wikipedia.org,2,No
2,Percentage of minorities in US,https://www.census.gov/quickfacts/fact/table/US/PST045216,census.gov,3,No
3,Percentage of minorities in US,https://www.usnews.com/news/articles/2015/07/06/its-official-the-us-is-becoming-a-minority-majority-nation,usnews.com,4,No
4,Percentage of minorities in US,https://www.npr.org/sections/thetwo-way/2017/06/22/533926978/census-finds-a-more-diverse-america-as-whites-lag-growth,npr.org,5,No
5,Percentage of minorities in US,https://www.statista.com/statistics/270272/percentage-of-us-population-by-ethnicities/,statista.com,6,No
6,Percentage of minorities in US,http://news.gallup.com/poll/4435/public-overestimates-us-black-hispanic-populations.aspx,gallup.com,7,No
7,Percentage of minorities in US,https://www.kff.org/other/state-indicator/distribution-by-raceethnicity/,kff.org,8,No
8,Percentage of minorities in US,http://www.pewresearch.org/fact-tank/2017/04/13/6-facts-about-the-u-s-military-and-its-changing-demographics/,pewresearch.org,9,No
9,Percentage of minorities in US,https://www.bostonglobe.com/news/politics/2016/02/26/when-will-minorities-majority/9v5m1Jj8hdGcXvpXtbQT5I/story.html,bostonglobe.com,10,No
10,Percentage of minorities in US,http://time.com/3934092/us-population-diversity-census/,time.com,11,No
11,Percentage of minorities in US,https://www.infoplease.com/us/comprehensive-census-data-state/demographic-statistics-342,infoplease.com,12,No
12,Percentage of minorities in US,https://www.cbsnews.com/news/u-s-minorities-increasingly-in-the-majority/,cbsnews.com,13,No
13,Percentage of minorities in US,https://www.kff.org/other/state-indicator/poverty-rate-by-raceethnicity/,kff.org,14,No
14,Percentage of minorities in US,https://www.bop.gov/about/statistics/statistics_inmate_race.jsp,bop.gov,15,No
15,Percentage of minorities in US,http://www.pewforum.org/religious-landscape-study/racial-and-ethnic-composition/,pewforum.org,16,No
16,Percentage of minorities in US,http://www.cleveland.com/datacentral/index.ssf/2016/06/minority_share_of_us_populatio.html,cleveland.com,17,No
17,Percentage of minorities in US,https://nces.ed.gov/programs/coe/indicator_cge.asp,ed.gov,18,No
18,Percentage of minorities in US,https://www.bls.gov/opub/reports/race-and-ethnicity/archive/labor-force-characteristics-by-race-and-ethnicity-2014.pdf,bls.gov,19,No
19,Percentage of minorities in US,http://minoritynurse.com/nursing-statistics/,minoritynurse.com,20,No
20,Percentage of minorities in US,https://www.pbs.org/newshour/nation/white-christians-now-minority-u-s-population-survey-says,pbs.org,21,No
